trace_length,trace_length_ns,qubit_0_dFdT,qubit_1_dFdT,qubit_2_dFdT,qubit_3_dFdT,qubit_4_dFdT
50,100,3.25784309e+05,1.36945486e+05,2.71992211e+05,3.36976023e+05,3.99926871e+05
100,200,4.23618844e+05,1.78101781e+05,3.38637758e+05,4.34431551e+05,5.17364647e+05
150,300,5.33664649e+05,2.24929376e+05,3.88453276e+05,5.36776949e+05,6.41129372e+05
200,400,4.98430189e+05,2.11988963e+05,3.08884379e+05,4.84164769e+05,5.74687063e+05
250,500,3.84527514e+05,1.67084820e+05,1.82354123e+05,3.52635371e+05,4.05812546e+05
300,600,2.60083068e+05,1.17610581e+05,7.53387206e+04,2.17927599e+05,2.30720839e+05
350,700,1.61354499e+05,7.77246952e+04,9.32708035e+03,1.17826605e+05,1.02503697e+05
400,800,9.50498316e+04,5.00806571e+04,-2.35723726e+04,5.60085452e+04,2.82832683e+04
450,900,5.41966104e+04,3.21867294e+04,-3.76123301e+04,2.16351671e+04,-7.53192866e+03
500,1000,2.98436943e+04,2.07647161e+04,-4.27387222e+04,3.31022844e+03,-2.25355888e+04
550,1100,1.53896251e+04,1.33463151e+04,-4.39014714e+04,-6.43386819e+03,-2.81921518e+04
600,1200,6.79130482e+03,8.40682575e+03,-4.32416100e+04,-1.16419037e+04,-3.01104504e+04
650,1300,1.67609922e+03,5.08945078e+03,-4.16976393e+04,-1.44032939e+04,-3.05420099e+04
700,1400,-1.37268433e+03,2.89057722e+03,-3.96694791e+04,-1.57896713e+04,-3.02117930e+04
750,1500,-3.15551054e+03,1.42306051e+03,-3.71249067e+04,-1.62191611e+04,-2.91259228e+04
800,1600,-3.99771197e+03,3.91715844e+02,-3.34678064e+04,-1.55704117e+04,-2.67899569e+04
850,1700,-3.91683436e+03,-2.86638941e+02,-2.76115842e+04,-1.33685823e+04,-2.23623105e+04
900,1800,-2.88038913e+03,-5.06249735e+02,-1.86049057e+04,-9.21145044e+03,-1.51548025e+04
950,1900,-2.12532058e+03,-4.81966142e+02,-1.32333833e+04,-6.61588535e+03,-1.08029989e+04
