trace_length,trace_length_ns,qubit_0_dFdT,qubit_1_dFdT,qubit_2_dFdT,qubit_3_dFdT,qubit_4_dFdT
50,100,2.90101945e+05,1.17757021e+05,2.06311285e+05,2.96801196e+05,3.67730299e+05
100,200,3.75879477e+05,1.53172724e+05,2.55602312e+05,3.80554535e+05,4.70812000e+05
150,300,4.70374621e+05,1.93511911e+05,2.89989698e+05,4.65298407e+05,5.71737095e+05
200,400,4.35476670e+05,1.82526870e+05,2.25774792e+05,4.13578290e+05,4.97566158e+05
250,500,3.32854490e+05,1.44213482e+05,1.27354519e+05,2.95939454e+05,3.37931721e+05
300,600,2.23366577e+05,1.02166774e+05,4.53982318e+04,1.79275188e+05,1.82300859e+05
350,700,1.37839947e+05,6.84190246e+04,-4.60975312e+03,9.46267514e+04,7.39861868e+04
400,800,8.08767814e+04,4.50036110e+04,-2.93131919e+04,4.32519339e+04,1.40936389e+04
450,900,4.58060818e+04,2.96102138e+04,-3.97037567e+04,1.49578104e+04,-1.37013357e+04
500,1000,2.48295407e+04,1.94397867e+04,-4.32886039e+04,-1.02604178e+02,-2.49917406e+04
550,1100,1.23564922e+04,1.25520244e+04,-4.37697413e+04,-8.15421536e+03,-2.91126015e+04
600,1200,4.94701058e+03,7.84156457e+03,-4.27832455e+04,-1.25105627e+04,-3.03886499e+04
650,1300,5.47115372e+02,4.65730825e+03,-4.11222527e+04,-1.48581775e+04,-3.05081013e+04
700,1400,-2.06450964e+03,2.54086176e+03,-3.91439122e+04,-1.60399098e+04,-3.00021430e+04
750,1500,-3.55513700e+03,1.14876516e+03,-3.67225202e+04,-1.63603991e+04,-2.88263072e+04
800,1600,-4.18137502e+03,2.68524550e+02,-3.31413596e+04,-1.56570420e+04,-2.64758248e+04
850,1700,-3.95239769e+03,-1.91100968e+02,-2.72924436e+04,-1.34347857e+04,-2.21010779e+04
900,1800,-2.85035373e+03,-2.86281614e+02,-1.83267887e+04,-9.26337996e+03,-1.49906870e+04
950,1900,-2.08473294e+03,-2.51407259e+02,-1.30023166e+04,-6.65798914e+03,-1.06942369e+04
